인덱스,주제,난이도,정답률,오답률,문항번호,과목
10156,부정적분 기초 계산,하,0.94 ~ 0.96,0.04 ~ 0.06,17번,미적분
10157,삼각형 넓이 문제,하,0.92 ~ 0.96,0.04 ~ 0.08,18번,수학
10158,닫힌구간 절댓값 최댓값,중하~중,0.88 ~ 0.93,0.07 ~ 0.12,19번,미적분
10159,수열의 부분합 문제,중,0.55 ~ 0.65,0.35 ~ 0.45,20번,수학
10160,삼차함수와 조각함수,상,0.35 ~ 0.45,0.55 ~ 0.65,21번,수학
10161,지수·로그 대칭 문제,중상,0.45 ~ 0.55,0.45 ~ 0.55,22번,수학
10162,벡터 성분합 계산,하,0.92 ~ 0.96,0.04 ~ 0.08,23번,기하
10163,포물선 초점-준선 거리,하,0.90 ~ 0.95,0.05 ~ 0.10,24번,기하
10164,3차원 좌표 대칭과 거리,하,0.90 ~ 0.95,0.05 ~ 0.10,25번,기하
10165,쌍곡선 접선 문제,중하,0.83 ~ 0.88,0.12 ~ 0.17,26번,기하
10166,원기둥 넓이 문제,중상,0.55 ~ 0.65,0.35 ~ 0.45,27번,기하
10167,사면체와 구 문제,상,0.30 ~ 0.45,0.55 ~ 0.70,28번,기하
10168,포물선-타원 결합,상,0.33 ~ 0.47,0.53 ~ 0.67,29번,기하
10169,원과 벡터 내적,중상,0.45 ~ 0.55,0.45 ~ 0.55,30번,기하
